date,amount,description,account01/01/2015,-49.88,"SAM SNEADS SHAWNEE ON DE PA",amex
01/02/2015,-40,"MTA MVM*NOSTRAND AVENEW YORK NY",amex
01/02/2015,-62.8,"THE BRESLIN BAR & DINEW YORK NY",amex
01/03/2015,-5.15,"AMAZON WEB SERVICES AWS.AMAZON.CO WA",amex
01/06/2015,-11.41,"FIVE GUYS-NY #1499 5NEWYORK NY",amex
01/07/2015,-3.99,"ITUNES MUSICUSA ITUNCUPERTINO CA",amex
01/11/2015,-77.73,"FRANKIES SPUNTINO BROOKLYN NY",amex
01/11/2015,-9.98,"ITUNES MUSICUSA ITUNCUPERTINO CA",amex
01/14/2015,-11.69,"GOURMET NEW YORK 002NEW YORK NY",amex
01/15/2015,-8.98,"ITUNES MUSICUSA ITUNCUPERTINO CA",amex
01/15/2015,-40,"MTA MVM*NOSTRAND AVENEW YORK NY",amex
01/15/2015,509.75,"ONLINE PAYMENT - THANK YOU",amex
01/16/2015,-20,"NEW YORK TIMES DIGIT800-698-4637 NY",amex
01/18/2015,-9.99,"SPOTIFY USA 522898075018 SE",amex
01/19/2015,-45.68,"RADIOSHACK COR128611BROOKLYN NY",amex
01/21/2015,-8,"PP*NUCHAS TSQ UNION CITY NJ",amex
01/23/2015,-204.63,"ASTOR WINE AND SPIRINEW YORK NY",amex
01/23/2015,-3.99,"ITUNES MUSICUSA ITUNCUPERTINO CA",amex
01/24/2015,-47.92,"BROOKLYN LARDER BROOKLYN NY",amex
01/24/2015,-168.75,"SAN ART FRAMING & SU718-857-0629",amex
01/26/2015,-7.99,"NETFLIX WWW.NETFLIX.LOS GATOS CA",amex
01/30/2015,-50,"DELTA AIR LINES ATLANTA",amex
01/30/2015,-44.59,"NYC TAXI 5Y74 090025LONG ISLAND C NY",amex
01/31/2015,-3.99,"ITUNES.COM/BILL ITUNCUPERTINO CA",amex
02/03/2015,-2.11,"AMAZON WEB SERVICES AWS.AMAZON.CO WA",amex
02/03/2015,-10.69,"EUROPA CAFE 04615741NEW YORK NY",amex
02/03/2015,-40,"MTA MVM*42ND STREET NEW YORK NY",amex
02/09/2015,-3.99,"ITUNES.COM/BILL ITUNCUPERTINO CA",amex
02/10/2015,-13.66,"AMAZON MKTPLACE PMTSAMZN.COM/BILL WA",amex
02/10/2015,-8.7,"PRET A MANGER #002 0NEW YORK NY",amex
02/11/2015,-83.08,"AMAZON MKTPLACE PMTSAMZN.COM/BILL WA",amex
02/11/2015,-10.69,"EUROPA CAFE 04615741NEW YORK NY",amex
02/13/2015,-40,"MTA MVM*UNION STREETNEW YORK NY",amex
02/13/2015,-20,"NEW YORK TIMES DIGIT800-698-4637 NY",amex
02/13/2015,936.83,"ONLINE PAYMENT - THANK YOU",amex
02/16/2015,-92.47,"AMAZON MKTPLACE PMTSAMZN.COM/BILL WA",amex
02/16/2015,-21.76,"AMAZON.COM AMZN.COM/BILL WA",amex
