10/19/2015,-157.4,"Debit Card Purchase - ULTIMARCLTD 07769654888  ",cp1
10/16/2015,-50,"Electronic Payment to National Grid",cp1
10/16/2015,-1500,"Withdrawal from ALLY BANK $TRANSFER",cp1
10/15/2015,3662.55,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
10/13/2015,-4399.51,"Withdrawal from AMEX EPayment ACH PMT",cp1
10/11/2015,1000,"Deposit from Savings XXXXX8671",cp1
10/10/2015,-102.25,"ATM Withdrawal - 686 WASHINGTON AVE  BROOKLYN  NY US",cp1
10/09/2015,-11.98,"Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY",cp1
10/02/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
09/30/2015,0.16,"Monthly Interest Paid",cp1
09/30/2015,3217.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
09/29/2015,-300,"Withdrawal from ALLY BANK $TRANSFER",cp1
09/23/2015,-289.61,"Withdrawal from AMEX EPayment ACH PMT",cp1
09/18/2015,-2500,"Withdrawal from ALLY BANK $TRANSFER",cp1
09/17/2015,-43,"Debit Card Purchase - RENEGADEJUG 8314267343 CA",cp1
09/15/2015,-12.42,"Debit Card Purchase - ALPINE MEATS BLAIRSTOWN NJ",cp1
09/15/2015,3127.92,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
09/11/2015,40,"Deposit from VENMO CASHOUT",cp1
09/02/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
09/02/2015,-833,"Withdrawal from ALLY BANK $TRANSFER",cp1
09/02/2015,-747.95,"Withdrawal from AMEX EPayment ACH PMT",cp1
09/02/2015,-500,"Withdrawal from ALLY BANK $TRANSFER",cp1
09/02/2015,-114.94,"Withdrawal from PAYPAL to GARY KERTIS INST XFER",cp1
09/01/2015,-1000,"Internet Withdrawal to ShareBuilder Individual XXX3902",cp1
08/31/2015,0.13,"Monthly Interest Paid",cp1
08/31/2015,-18.96,"Electronic Payment to National Grid",cp1
08/31/2015,3256.86,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
08/30/2015,70.69,"Check Deposit (Mobile)",cp1
08/18/2015,-1700,"Withdrawal from ALLY BANK $TRANSFER",cp1
08/18/2015,-1345.53,"Withdrawal from AMEX EPayment ACH PMT",cp1
08/14/2015,3127.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
08/07/2015,-16.88,"Electronic Payment to National Grid",cp1
08/06/2015,70.69,"Check Deposit (Mobile)",cp1
08/05/2015,-700,"Withdrawal from ALLY BANK $TRANSFER",cp1
08/04/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
07/31/2015,0.15,"Monthly Interest Paid",cp1
07/31/2015,-101.75,"ATM Withdrawal - 314 FLATBUSH AVENUE  BROOKLYN  NY US",cp1
07/31/2015,-2000,"Internet Withdrawal to ShareBuilder Individual XXX3902",cp1
07/31/2015,-400,"Internet Withdrawal to ShareBuilder Roth IRA XXX7752",cp1
07/31/2015,3256.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
07/27/2015,-100,"Paper Payment to Deborah De Santis-Moniaci",cp1
07/26/2015,50,"Internet Deposit from ShareBuilder Individual XXX3902",cp1
07/24/2015,-11.98,"Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY",cp1
07/22/2015,-394.12,"Withdrawal from AMEX EPayment ACH PMT",cp1
07/21/2015,-100,"Paper Payment to Deborah De Santis-Moniaci",cp1
07/21/2015,250,"Deposit from Savings XXXXX8671",cp1
07/21/2015,-2500,"Withdrawal from ALLY BANK $TRANSFER",cp1
07/20/2015,-85.2,"Debit Card Purchase - BROTHERS TRATTORIA INC BEACON NY",cp1
07/20/2015,0.06,"Interest Paid",cp1
07/20/2015,4.76,"Credit Adjustment Conversion Fee",cp1
07/20/2015,-300,"Internet Withdrawal to ShareBuilder Individual XXX3902",cp1
07/17/2015,-82,"ATM Withdrawal - 71 OLD GLENHAM ROAD  GLENHAM  NY US",cp1
07/17/2015,-213.7,"Withdrawal from NYS DTF BILL PYT Tax Paymnt",cp1
07/16/2015,-250,"Withdrawal from PAYPAL to GARY KERTIS INST XFER",cp1
07/15/2015,3127.91,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
07/15/2015,248.46,"Check Deposit (Mobile)",cp1
07/05/2015,-400,"Internet Withdrawal to ShareBuilder Individual XXX3902",cp1
07/03/2015,-101.75,"ATM Withdrawal - 612 NOSTRAND AVE  BROOKLYN  NY US",cp1
07/02/2015,-10.89,"Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY",cp1
07/02/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
07/01/2015,-1000,"Withdrawal from ALLY BANK $TRANSFER",cp1
06/30/2015,0.79,"Monthly Interest Paid",cp1
06/30/2015,-1876,"Withdrawal to Savings XXXXX8671",cp1
06/30/2015,-2000,"Internet Withdrawal to ShareBuilder Roth IRA XXX7752",cp1
06/30/2015,-594.05,"Withdrawal from AMEX EPayment ACH PMT",cp1
06/30/2015,3256.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
06/25/2015,-3000,"Withdrawal from ALLY BANK $TRANSFER",cp1
06/16/2015,-815,"Paper Payment to Nicholas Kuvach",cp1
06/15/2015,3127.91,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
06/11/2015,-38.04,"Electronic Payment to National Grid",cp1
06/09/2015,-250,"Withdrawal from PAYPAL to GARY KERTIS INST XFER",cp1
06/05/2015,-2274.66,"Withdrawal from AMEX EPayment ACH PMT",cp1
06/02/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
06/01/2015,-2000,"Withdrawal from ALLY BANK $TRANSFER",cp1
05/31/2015,0.58,"Monthly Interest Paid",cp1
05/29/2015,5870.29,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
05/28/2015,-101.99,"ATM Withdrawal - 70 WEST 39TH STREET  NEW YORK  NY US",cp1
05/22/2015,-20.15,"Electronic Payment to National Grid",cp1
05/18/2015,-2500,"Withdrawal from ALLY BANK $TRANSFER",cp1
05/15/2015,3256.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
05/13/2015,-180,"Debit Card Purchase - VENMO 08558124430 NY",cp1
05/05/2015,-2000,"Withdrawal from ALLY BANK $TRANSFER",cp1
05/04/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
05/02/2015,-202.75,"ATM Withdrawal - 20 ST JAMES ST  KINGSTON  NY US",cp1
04/30/2015,0.17,"Monthly Interest Paid",cp1
04/30/2015,3127.91,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
04/23/2015,-3308,"Withdrawal to Savings XXXXX8671",cp1
04/23/2015,-2517.43,"Withdrawal from AMEX EPayment ACH PMT",cp1
04/22/2015,6500,"Deposit from ALLY BANK P2P GARY M KERTIS",cp1
04/16/2015,-3000,"Withdrawal from ALLY BANK $TRANSFER",cp1
04/15/2015,3127.91,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
04/02/2015,-12,"Withdrawal from Capital One Inv. ProgramChg",cp1
04/01/2015,-21.08,"Electronic Payment to National Grid",cp1
04/01/2015,-2500,"Withdrawal from ALLY BANK $TRANSFER",cp1
03/31/2015,0.18,"Monthly Interest Paid",cp1
03/31/2015,-500,"Withdrawal to Savings XXXXX8671",cp1
03/31/2015,3326.9,"Deposit from FIDELITY EMP SVC PUBMATICIN",cp1
